1	1	5.0000	10.0000
1	2	15.0000	20.0000
1	3	10.0000	5.0000
1	4	30.0000	40.0000
1	5	25.0000	30.0000
1	6	40.0000	15.0000
1	7	50.0000	60.0000
1	8	20.0000	25.0000
2	1	6.0000	11.0000
2	2	16.0000	21.0000
2	3	11.0000	6.0000
2	4	31.0000	41.0000
2	5	26.0000	31.0000
2	6	41.0000	16.0000
2	7	51.0000	61.0000
2	8	21.0000	26.0000
3	1	7.0000	12.0000
3	2	17.0000	22.0000
3	3	12.0000	7.0000
3	4	32.0000	42.0000
3	5	27.0000	32.0000
3	6	42.0000	17.0000
3	7	52.0000	62.0000
3	8	22.0000	27.0000
4	1	8.0000	13.0000
4	2	18.0000	23.0000
4	3	13.0000	8.0000
4	4	33.0000	43.0000
4	5	28.0000	33.0000
4	6	43.0000	18.0000
4	7	53.0000	63.0000
4	8	23.0000	28.0000
5	1	9.0000	14.0000
5	2	19.0000	24.0000
5	3	14.0000	9.0000
5	4	34.0000	44.0000
5	5	29.0000	34.0000
5	6	44.0000	19.0000
5	7	54.0000	64.0000
5	8	24.0000	29.0000
6	1	9.0000	14.0000
6	2	20.0000	25.0000
6	3	15.0000	10.0000
6	4	35.0000	45.0000
6	5	30.0000	35.0000
6	6	44.0000	19.0000
6	7	55.0000	65.0000
6	8	25.0000	30.0000
7	1	9.0000	14.0000
7	2	21.0000	26.0000
7	3	16.0000	11.0000
7	4	35.0000	45.0000
7	5	31.0000	36.0000
7	6	44.0000	19.0000
7	7	56.0000	66.0000
7	8	26.0000	31.0000
8	1	9.0000	14.0000
8	2	21.0000	26.0000
8	3	17.0000	12.0000
8	4	35.0000	45.0000
8	5	32.0000	37.0000
8	6	44.0000	19.0000
8	7	57.0000	67.0000
8	8	27.0000	32.0000
9	1	9.0000	14.0000
9	2	21.0000	26.0000
9	3	17.0000	12.0000
9	4	35.0000	45.0000
9	5	33.0000	38.0000
9	6	44.0000	19.0000
9	7	57.0000	67.0000
9	8	28.0000	33.0000
10	1	9.0000	14.0000
10	2	21.0000	26.0000
10	3	17.0000	12.0000
10	4	35.0000	45.0000
10	5	33.0000	38.0000
10	6	44.0000	19.0000
10	7	57.0000	67.0000
10	8	29.0000	34.0000
11	1	9.0000	14.0000
11	2	21.0000	26.0000
11	3	17.0000	12.0000
11	4	35.0000	45.0000
11	5	33.0000	38.0000
11	6	44.0000	19.0000
11	7	57.0000	67.0000
11	8	29.0000	34.0000
12	1	9.0000	14.0000
12	2	21.0000	26.0000
12	3	17.0000	12.0000
12	4	35.0000	45.0000
12	5	33.0000	38.0000
12	6	44.0000	19.0000
12	7	57.0000	67.0000
12	8	29.0000	34.0000
13	1	9.0000	14.0000
13	2	21.0000	26.0000
13	3	17.0000	12.0000
13	4	35.0000	45.0000
13	5	33.0000	38.0000
13	6	44.0000	19.0000
13	7	57.0000	67.0000
13	8	29.0000	34.0000
14	1	9.0000	14.0000
14	2	21.0000	26.0000
14	3	17.0000	12.0000
14	4	35.0000	45.0000
14	5	33.0000	38.0000
14	6	44.0000	19.0000
14	7	57.0000	67.0000
14	8	29.0000	34.0000
15	1	9.0000	14.0000
15	2	21.0000	26.0000
15	3	17.0000	12.0000
15	4	35.0000	45.0000
15	5	33.0000	38.0000
15	6	44.0000	19.0000
15	7	57.0000	67.0000
15	8	29.0000	34.0000
16	1	9.0000	14.0000
16	2	21.0000	26.0000
16	3	17.0000	12.0000
16	4	35.0000	45.0000
16	5	33.0000	38.0000
16	6	44.0000	19.0000
16	7	57.0000	67.0000
16	8	29.0000	34.0000
17	1	9.0000	14.0000
17	2	21.0000	26.0000
17	3	17.0000	12.0000
17	4	35.0000	45.0000
17	5	33.0000	38.0000
17	6	44.0000	19.0000
17	7	57.0000	67.0000
17	8	29.0000	34.0000
18	1	9.0000	14.0000
18	2	21.0000	26.0000
18	3	17.0000	12.0000
18	4	35.0000	45.0000
18	5	33.0000	38.0000
18	6	44.0000	19.0000
18	7	57.0000	67.0000
18	8	29.0000	34.0000
19	1	9.0000	14.0000
19	2	21.0000	26.0000
19	3	17.0000	12.0000
19	4	35.0000	45.0000
19	5	33.0000	38.0000
19	6	44.0000	19.0000
19	7	57.0000	67.0000
19	8	29.0000	34.0000
20	1	9.0000	14.0000
20	2	21.0000	26.0000
20	3	17.0000	12.0000
20	4	35.0000	45.0000
20	5	33.0000	38.0000
20	6	44.0000	19.0000
20	7	57.0000	67.0000
20	8	29.0000	34.0000
